Alcohol and Cocaine Period										
No.	Name	Year	Word	Audible	Genres/Keywords	Movies	Read	Heard	Want	Comments
			Count							
1	Carrie	1974	60,581	7:24	novel horror telekinesis	1976 (seen 2 times)	1	1		Mind powers. Boring description: Girl is bullied at prom
						1999 (The Rage: Carrie 2)				
						2002 (tv movie)				
						2013 (seen 1 time)				
						in development				
2	'Salem's Lot	1975	157,607	17:36	novel horror vampires	1979 (Salem's Lot) (tv mini-series) (seen 1 time)		1		Vampires. Boring description: Vampires go viral
						1987 (A Return to Salem's Lot) (seen 1 time)				
						2004 (Salem's Lot) (tv mini-series)				
						2024 (Salem's Lot)				
3	The Shining	1977	161,321	15:50	novel gothic horror supernatural psychic-abilities ghosts shine	1980 (seen 3 times)	1	2		Mind powers and ghosts. Sequel: Doctor Sleep. Boring description: A father ruins roque for his son
						1997 (tv mini-series) (seen 1 time)				
4	Rage (Bachman)	1977	53,994		novel psychological-thriller school-shooting			1		Collection: The Bachman Books, but was was sold separately. Was taken out of the collection and is no longer being published. Based on the real world. Boring description: Student goes cuckoo, gun goes pew pew
5	The Stand	1978		47:47:00	novel post apocalyptic	1994 (tv mini-series) (seen 2 times)		1		Mind powers and alternate universes. Cut Version. The other 8 books that use it only have it once. Boring description: Really bad flu season then people walk to Vegas and do nothing when they arrive
						2020 (tv mini-series) (seen 1 time)				
6	Battleground	1978	3,595		short-story horror	2006		1		Collection: Night Shift. Boring description: A guy gets some toy army men
7	Children of the Corn	1978	10,964		short-story horror	1984 (seen 2 times)	1			Collection: Night Shift. Boring description: Children live in a corn field
						1992 (Children of the Corn II: The Final Sacrifice) (seen 2 times)				
						1995 (Children of the Corn III: Urban Harvest)				
						1996 (Children of the Corn IV: The Gathering)				
						1998 (Children of the Corn V: Fields of Terror)				
						1999 (Children of the Corn 666: Isaac's Return)				
						2001 (Children of the Corn VII: Revelation)				
						2009 (tv movie)				
						2011 (Children of the Corn VIII: Genesis)				
						2018 (Children of the Corn IX: Runaway)				
						2020 (Children of the Corn)				
						2023 (Children of the Corn) (tv series)				
8	Graveyard Shift	1978	6,106		short-story horror	1990		1		Collection: Night Shift. Boring description: Rodent survives attempts at pest control
9	Gray Matter	1978	4,726		short-story horror	2019 (seen 1 time)		1		Collection: Night Shift. Boring description: (please suggest)
10	I Am the Doorway	1978	4,881		short-story scifi horror	2018	1			Collection: Night Shift. Boring description: (please suggest)
11	I Know What You Need	1978	8,173		short-story horror	2005		1		Collection: Night Shift. Boring description: (please suggest)
